group_id,common_words,unique_words
1,[],"[['say', 'number', 'legal', 'start', 'medicine', 'limited', 'available', 'cvs', 'making', 'walgreens', 'states', 'itõs'], ['standards', 'concerns', 'mifepristone', 'women', 'prescription', 'safety', 'dangerous', 'could', 'drug', 'voiced', 'rolling', 'slammed', 'controversial', 'fda', 'critics', 'back'], ['say', 'mifepristone', 'dispensing', 'cvs', 'used', 'walgreens', 'two', 'states', 'one', 'soon', 'drugs', 'start', 'allowed', 'abortion', 'medication', 'abortions'], ['mifepristone', 'breaking', 'month', 'widely', 'pill', 'cvs', 'pharmacy', 'walgreens', 'two', 'news', 'selling', 'offering', 'states', 'handful', 'start', 'chains', 'abortion', 'largest'], ['mifepristone', 'coming', 'weeks', 'pill', 'cvs', 'walgreens', 'abortion', 'begin', 'selling']]"
2,[],"[['pregnant', 'must', 'decision', 'penal', 'adhere', 'court', 'life', 'historic', 'saveó', 'barring', 'code', 'provision', 'personõs', 'supreme', 'necessary', 'òit', 'ruled', 'cases', 'except', 'arizona', 'abortions', 'state'], ['law', 'outlaws', 'ruling', 'criminalizes', 'reverts', 'decision', 'back', 'nearly', 'circumstances', 'abortions', 'state'], ['say', 'ban', 'confusion', 'stateõs', 'court', 'enforceable', 'tuesday', 'chaos', 'access', 'question', 'providers', 'highest', 'throwing', 'abortion', 'ruled', 'arizona', 'facing'], ['defense', 'virtually', 'states', 'exclusive', 'arizonaõs', 'banned', 'court', 'battleground', 'highest', 'republicans', 'nationõs', 'top', 'abortions', 'one'], ['santos', 'gop', 'ever', 'becomes', 'george', 'lawmaker', 'expelled', 'sixth', 'chamber']]"
3,[],"[['years', 'breaking', 'first', 'house', '20', 'lawmaker', 'expelled', 'news'], ['santos', 'overwhelmingly', 'expel', 'breaking', 'york', 'votes', 'house', 'george', 'new', 'congress'], ['person', 'santos', 'questions', 'york', 'remaining', 'charges', 'george', 'new', 'without', 'friday', 'making', 'criminal', 'conviction', 'congress', 'forcibly', 'examined', 'first', 'vote', 'office', 'expelled', 'lies', 'century'], ['committed', 'santos', 'civil', 'campaign', 'third', 'george', 'stole', 'allegations', 'money', 'itõs', 'expulsion', 'house', 'misdeeds', 'expelled', 'since', 'war', 'chamber'], ['maximum', 'month', 'found', 'last', 'possible', 'guilty', '2021', 'fatal', 'involuntary', 'punishment', 'reed', 'received', 'manslaughter', 'gutierrez', 'shooting', 'hannah']]"
4,[],"[['maximum', 'sentenced', 'alec', 'shooting', 'time', 'fatal', 'armorer', 'baldwin'], ['cinematographer', 'ôrustõ', 'sentenced', 'months', '18', 'breaking', 'manslaughter', 'hutchins', 'shooting', 'fatal', 'armorer', 'involuntary', 'halyna', 'hannah'], ['months', 'person', 'loaded', 'breaking', 'trial', 'movie', 'set', 'responsible', 'fatal', 'involuntary', 'death', 'halyna', 'news', 'jury', 'hutchins', 'held', 'criminally', 'cinematographer', 'received', '18', 'manslaughter', 'first', 'gun', 'film', 'shooting', 'armorer', 'prison'], ['cinematographer', 'months', 'sentenced', '18', 'shot', 'òrustó', 'set', 'charge', 'weapons', 'armorer', 'fatally', 'hannah', 'prison'], ['months', 'cancer', 'wales', 'good', 'first', 'princess', 'catherine', 'public', 'making', 'says', 'appearance', 'make', 'tomorrow', 'recovery']]"
5,[],"[['treatment', 'chemo', 'cancer', 'first', 'kate', 'middleton', 'public', 'appearance', 'diagnosis', 'says', 'since', 'continue', 'make'], ['breaking', 'cancer', 'saturday', 'princess', 'trooping', 'colour', 'ceremony', 'treatment', 'undergoing', 'kate', 'first', 'london', 'public', 'appearance', 'announcing', 'since', 'make'], ['months', 'parade', 'march', 'cancer', 'saturday', 'wales', 'take', 'princess', 'friday', 'iii', 'king', 'part', 'said', 'charles', 'several', 'first', 'treated', 'birthday', 'marking', 'public', 'catherine', 'appearance', 'planned', 'confirmed'], ['cancer', 'announced', 'wales', 'first', 'treated', 'weekend', 'princess', 'catherine', 'expected', 'public', 'appearance', 'since', 'make'], ['female', 'high', 'five', 'blazed', 'inspired', 'women', 'served', 'lawyers', 'ð', 'court', '93', 'trails', 'generations', 'nomination', 'including']]"
6,[],"[['supreme', 'died', 'woman', 'first', 'sandra', 'age', 'court', '93', 'lasting', 'legacy', 'day', 'serve'], ['civics', 'female', 'died', 'spokesman', 'mourn', 'rule', 'john', 'generation', 'court', 'defender', 'justices', 'eloquent', 'courtõs', 'said', 'trail', 'first', 'age', 'statement', 'justice', '93', 'roberts', 'historic', 'loss', 'advocate', 'oõconnor', 'breaking', 'blazed', 'sandra', 'independent', 'chief', 'nationõs', 'held', 'fiercely', 'law', 'supreme', 'center', 'says', 'beloved', 'colleague', 'woman', 'day', 'serve'], ['distant', 'died', 'firm', 'sandra', 'might', 'seemed', 'graduating', 'court', 'sit', 'brink', '1952', 'friday', 'appointment', 'school', 'major', 'law', 'supreme', 'notion', 'even', 'secretarial', 'position', 'applied', '93', 'stanford', 'offered', 'woman', 'day'], ['supreme', 'appointed', 'died', 'oõconnor', 'powerful', 'first', 'sandra', 'tenure', 'court', 'much', 'justice', '93', 'woman', 'day'], ['danbury', 'connecticut', 'congressional', 'federal', 'subpoena', 'trump', 'begin', 'donald', 'former', 'steve', 'reported', 'house', 'defying', 'strategist', 'bannon', 'white', 'sentence', 'prison']]"
7,[],"[['former', 'president', 'steve', 'contempt', 'connecticut', 'federal', '1', 'ally', 'deadline', 'july', 'trump', 'bannon', 'sentence', 'prison', 'report'], ['reiterated', 'continued', 'privilege', 'òdonõt', 'interview', 'arguments', 'executive', 'news', 'steve', 'anythingó', '6', 'subpoenas', 'argue', 'bannon', 'committeeõs', 'nbc', 'mean'], ['serve', 'subpoena', 'riot', 'capitol', 'trump', 'refusing', 'honor', 'held', 'donald', 'steve', 'committee', '6', 'ally', 'investigating', 'bannon', 'surrendering', 'sentence', 'monday', 'rally'], ['former', 'steve', 'aide', 'prepares', 'house', 'voice', 'òdangerousó', 'embraces', 'image', 'bannon', 'white', 'sentence', 'serve'], ['santos', 'democrat', 'republican', 'george', 'defeating', 'heading', 'congress', 'former', 'gop', 'tom', 'pilip', 'fabulist', 'back', 'election', 'mazi', 'replace', 'suozzi', 'expelled', 'special', 'serial']]"
8,[],"[['santos', 'majority', 'votes', 'vacant', 'george', 'hang', 'held', 'former', 'seat', 'gop', 'tom', 'struggle', 'house', 'democratic', 'republicans', 'suozzi'], ['santos', 'democrat', 'york', 'new', 'george', 'news', 'district', 'former', 'gop', 'tom', '3rd', 'election', 'projects', 'replace', 'wins', 'suozzi', 'special', 'nbc'], ['victory', 'right', 'message', 'congressional', 'òweõve', 'gave', 'get', 'yorkõs', 'third', 'speech', 'enough', 'new', 'writes', 'drama', 'letõs', 'done', 'district', 'collins', 'gail', 'tom', 'ó', 'election', 'pretty', 'òa', 'stuff', 'suozzi', 'thatõs', 'special', 'dull'], ['santos', 'loses', 'democrat', 'york', 'narrowly', 'succeed', 'new', 'george', 'divided', 'congress', 'seat', 'gop', 'tom', 'house', 'election', 'special', 'suozzi'], ['rushed', 'service', 'pennsylvania', 'breaking', 'campaign', 'stage', 'trump', 'secret', 'news', 'rally', 'donald']]"
9,['trump'],"[['former', 'president', 'speaking', 'gunfire', 'apparent', 'erupted', 'donald'], ['crouched', 'popping', 'saturday', 'matter', 'agents', 'face', 'expected', 'quickly', 'stage', 'officials', 'former', 'rushed', 'president', 'service', 'according', 'gunshots', 'speaking', 'enforcement', 'loud', 'briefed', 'head', 'noises', 'sounds', 'vehicle', 'secret', 'ear', 'surrounded', 'reached', 'senior', 'sides', 'sounded', 'heard', 'survive', 'blood', 'escorted', 'minutes', 'two', 'currently', 'law', 'side', 'rang', 'like', 'safe', 'walking', 'rally', 'pennsylvania'], ['live', 'shots', 'pops', 'sounded', 'breaking', 'heard', 'stage', 'news', 'updates', 'rushed', 'donald', 'like', 'gun', 'follow', 'rally', 'pennsylvania'], ['former', 'president', 'shots', 'butler', 'sounded', 'like', 'saturday', 'fired', 'stage', 'multiple', 'taken', 'rally', 'donald'], ['supreme', 'january', 'jeopardizing', 'counsel', 'trial', '6', 'court', 'election', 'special', 'rules', 'case', 'immunity']]"
10,['immunity'],"[['prosecution', 'scotus', 'acts', 'official', 'protection', 'rules', 'case'], ['supreme', 'prosecution', 'trump', 'interference', 'breaking', 'federal', 'court', 'election', 'rules', 'case', 'delaying'], ['key', 'ruling', 'leader', 'actions', 'official', 'found', 'court', 'presidents', 'reveal', 'nationõs', 'power', 'former', 'supreme', 'conservative', 'declared', 'view', 'justices', 'excerpts'], ['canõt', 'constitution', 'presumption', 'actions', 'hereõs', 'outlined', 'court', 'means', 'trump', 'job', 'donald', 'president', 'supreme', 'takes', 'charged', 'office', 'ruled']]"
